"JURISDICTION","AGE_GROUP","Sum(Combined Offences)","License_holder"
"ACT","17-25",9226,43828
"ACT","26-39",19781,107501
"ACT","40-64",29498,136758
"ACT","65 and over",8971,59806
"NSW","17-25",48862,785739
"NSW","26-39",63205,1651819
"NSW","40-64",63061,2450279
"NSW","65 and over",13080,1278389
"NT","17-25",6131,22261
"NT","26-39",16012,56336
"NT","40-64",20126,63681
"NT","65 and over",4368,21139
"QLD","17-25",121629,556981
"QLD","26-39",237465,1081903
"QLD","40-64",330434,1668204
"QLD","65 and over",84968,847864
"SA","17-25",22951,168643
"SA","26-39",50750,347537
"SA","40-64",79901,534305
"SA","65 and over",27449,312063
"TAS","17-25",10520,50260
"TAS","26-39",22772,105469
"TAS","40-64",30592,164835
"TAS","65 and over",11471,109302
"VIC","17-25",76099,648298
"VIC","26-39",226307,1529509
"VIC","40-64",350286,2053555
"VIC","65 and over",105907,1029046
"WA","17-25",57938,283868
"WA","26-39",145235,614674
"WA","40-64",215930,873443
"WA","65 and over",54275,422832
