"YEAR","JURISDICTION","AGE_GROUP","Sum(FINES)","Licence_Holders","Infractions_per_10000"
2010,"ACT","All ages",58705,287134,2044.515800984906
2011,"ACT","All ages",56719,294174,1928.076580527171
2012,"ACT","All ages",54201,301841,1795.6805072869493
2013,"ACT","All ages",51948,307834,1687.532891103647
2014,"ACT","All ages",45120,314244,1435.826937029824
2015,"ACT","All ages",50640,312267,1621.689131416384
2016,"ACT","All ages",55750,328377,1697.7437518462013
2017,"ACT","All ages",52913,324439,1630.9075049547064
2018,"ACT","All ages",66449,330574,2010.109687997241
2019,"ACT","All ages",59330,329637,1799.8586323743998
2020,"ACT","All ages",57612,326495,1764.5599473192544
2021,"ACT","All ages",113807,326454,3486.157314659952
2023,"ACT","0-16",58,4600.75,126.06640221702983
2023,"ACT","17-25",9007,45719.25,1970.0673130027285
2023,"ACT","26-39",19950,100772,1979.7165879410948
2023,"ACT","40-64",31836,133512.5,2384.4958337234343
2023,"ACT","65+",9925,56815.5,1746.8824528517746
2024,"ACT","0-16",43,4766.5,90.21294450854926
2024,"ACT","17-25",9191,45677.3,2012.159212562914
2024,"ACT","26-39",19746,100885.2,1957.2742087045474
2024,"ACT","40-64",29478,136757.5,2155.4942142112864
2024,"ACT","65+",8971,59805.5,1500.0292615227697
2010,"NT","All ages",26775,132561,2019.824835358816
2011,"NT","All ages",24633,133035,1851.617995264404
2012,"NT","All ages",27730,138077,2008.2997168246702
2013,"NT","All ages",24536,146404,1675.9104942487909
2014,"NT","All ages",22871,150653,1518.1244316409231
2015,"NT","All ages",24928,152268,1637.1135103895763
2016,"NT","All ages",22239,154405,1440.3030989929084
2017,"NT","All ages",22556,156344,1442.7160620170907
2018,"NT","All ages",37452,157296,2380.98870918523
2019,"NT","All ages",39500,156344,2526.4800695901345
2020,"NT","All ages",40921,157831,2592.70992390595
2021,"NT","All ages",38648,159208,2427.5162052158184
2022,"NT","All ages",33642,159063,2115.0110333641387
2023,"NT","0-16",57,2019.5,282.24808120821984
2023,"NT","17-25",5649,23120.5,2443.28626111027
2023,"NT","26-39",14283,52578,2716.5354330708665
2023,"NT","40-64",17659,63381,2786.1662012274974
2023,"NT","65+",4188,20262,2066.923304708321
2024,"NT","0-16",59,2082.25,283.3473406171209
2024,"NT","17-25",6042,23831.15,2535.33715326369
2024,"NT","26-39",15904,52683.6,3018.7762415628395
2024,"NT","40-64",20023,63680.5,3144.290638421495
2024,"NT","65+",4350,21138.5,2057.856517728316
2010,"TAS","All ages",37376,363291,1028.8171190588262
2011,"TAS","All ages",24427,367296,665.0494424115699
2012,"TAS","All ages",7410,365359,202.81421834414917
2013,"TAS","All ages",7517,365295,205.7788910332745
2014,"TAS","All ages",9250,366231,252.57282971676347
2015,"TAS","All ages",15220,370296,411.0225333246916
2016,"TAS","All ages",15977,379305,421.2177535228905
2017,"TAS","All ages",13095,380215,344.4103993792986
2018,"TAS","All ages",8609,387773,222.01133137170456
2019,"TAS","All ages",6738,398452,169.10443416019996
2020,"TAS","All ages",40751,406437,1002.6400155497654
2021,"TAS","All ages",39228,416263,942.3849825711148
2022,"TAS","All ages",42737,423676,1008.7189267270273
2023,"TAS","0-16",18,5383.5,33.43549735302312
2023,"TAS","17-25",9407,51005.9,1844.2964441368547
2023,"TAS","26-39",20286,98700.6,2055.306654670792
2023,"TAS","40-64",26326,164821,1597.2479235048932
2023,"TAS","65+",8968,106617,841.1416565838468
2024,"TAS","0-16",8,5641.75,14.179997341250498
2024,"TAS","17-25",10397,51279.05,2027.5336614075338
2024,"TAS","26-39",22615,98808.2,2288.777652057218
2024,"TAS","40-64",30484,164834.5,1849.3701257928408
2024,"TAS","65+",11468,109301.5,1049.2079248683688
2010,"WA","All ages",300344,1566465,1917.336167740741
2011,"WA","All ages",558552,1605793,3478.3561766678517
2012,"WA","All ages",588746,1623226,3627.0118886710784
2013,"WA","All ages",543491,1854446,2930.745893921958
2014,"WA","All ages",711518,1896560,3751.6239929134854
2015,"WA","All ages",752276,1928430,3900.976441976115
2016,"WA","All ages",567954,1952879,2908.2907850409574
2017,"WA","All ages",754183,1965031,3838.0208760065366
2018,"WA","All ages",689198,1977775,3484.713883025117
2019,"WA","All ages",682996,1992380,3428.0408355835734
2020,"WA","All ages",695586,2013336,3454.892774976457
2021,"WA","All ages",809544,2036282,3975.5986646250376
2022,"WA","All ages",843541,2078263,4058.8751279313537
2023,"WA","0-16",34,28520,11.921458625525945
2023,"WA","17-25",95909,282053.8,3400.3796438835434
2023,"WA","26-39",246081,558293.2,4407.737726341643
2023,"WA","40-64",373492,856087.5,4362.778337494708
2023,"WA","65+",91599,407302.5,2248.9181873423317
2024,"WA","0-16",1153,29886.25,385.79614371157305
2024,"WA","17-25",57592,292292.35,1970.3560493458006
2024,"WA","26-39",144596,576363.4,2508.764435770904
2024,"WA","40-64",215275,873442.5,2464.6728319265435
2024,"WA","65+",54217,422831.5,1282.2365410334849
2010,"SA","All ages",91335,1130920,807.616807554911
2011,"SA","All ages",61859,1138713,543.2360919740092
2012,"SA","All ages",54773,1151821,475.5339588356177
2013,"SA","All ages",74391,1183292,628.6782974954617
2014,"SA","All ages",100562,1196554,840.430101775599
2015,"SA","All ages",85282,1206194,707.0338602248064
2016,"SA","All ages",182856,1229167,1487.6416304700663
2017,"SA","All ages",162804,1232106,1321.3473516077352
2018,"SA","All ages",174731,1246015,1402.3185916702446
2019,"SA","All ages",202914,1258216,1612.7119667847173
2020,"SA","All ages",175237,1271948,1377.7056923710718
2021,"SA","All ages",202693,1294479,1565.8268693428013
2022,"SA","All ages",186196,1329139,1400.8768082194565
2023,"SA","0-16",21,17072.5,12.300483233269878
2023,"SA","17-25",24364,170104.1,1432.299397839323
2023,"SA","26-39",56350,320033.4,1760.753721330336
2023,"SA","40-64",90037,529484.5,1700.4652638556936
2023,"SA","65+",28380,303365.5,935.5051909330494
2024,"SA","0-16",37,17773,20.81809486299443
2024,"SA","17-25",22830,173253.4,1317.7230576715956
2024,"SA","26-39",50588,325153.6,1555.81854237505
2024,"SA","40-64",79759,534305,1492.7616249146085
2024,"SA","65+",27441,312063,879.3416713932764
2010,"QLD","All ages",440622,3132341,1406.6859259576145
2011,"QLD","All ages",588714,3240939,1816.4920722049999
2012,"QLD","All ages",653679,3301004,1980.2429806204416
2013,"QLD","All ages",762905,3374824,2260.5771441710735
2014,"QLD","All ages",1004090,3384271,2966.931430727622
2015,"QLD","All ages",1076622,3432170,3136.855109158346
2016,"QLD","All ages",659305,3505706,1880.662554133176
2017,"QLD","All ages",733717,3580836,2049.010342836142
2018,"QLD","All ages",1021423,3657643,2792.5716096404158
2019,"QLD","All ages",1041780,3719766,2800.6600415187404
2020,"QLD","All ages",910858,3806397,2392.966366881857
2021,"QLD","All ages",978926,3888986,2517.1754282478773
2022,"QLD","All ages",849399,3973138,2137.8542602849434
2024,"QLD","0-16",18147,60641.5,2992.5051326236985
2024,"QLD","17-25",121629,564851.5,2153.291617354296
2024,"QLD","26-39",237465,1013391,2343.2712546292596
2024,"QLD","40-64",330434,1668204,1980.776931358515
2024,"QLD","65+",84968,847864,1002.1418529386789
2010,"VIC","All ages",1172460,3978322,2947.1219272849207
2011,"VIC","All ages",1151555,4060582,2835.9358338287466
2012,"VIC","All ages",1185037,4135725,2865.367015456782
2013,"VIC","All ages",1015986,4228230,2402.8636095955044
2014,"VIC","All ages",1307924,4310687,3034.142817606567
2015,"VIC","All ages",1306201,4384609,2979.0592502090835
2016,"VIC","All ages",1266642,4474502,2830.799941535393
2017,"VIC","All ages",1220180,4565595,2672.5541796852326
2018,"VIC","All ages",1600565,4665764,3430.445689066142
2019,"VIC","All ages",1004679,4748539,2115.7644488125716
2020,"VIC","All ages",937192,4807706,1949.353808240354
2021,"VIC","All ages",1231672,4895143,2516.110356735237
2022,"VIC","All ages",1378231,4968836,2773.7502304362633
2023,"VIC","0-16",15,60789,2.4675516952080145
2023,"VIC","17-25",93157,648872.2,1435.675623027154
2023,"VIC","26-39",312408,1383733.8,2257.7174887250712
2023,"VIC","40-64",492629,2011328.5,2449.2717127013316
2023,"VIC","65+",147705,993187.5,1487.1814234472345
2024,"VIC","0-16",31,63983,4.845036962943282
2024,"VIC","17-25",76099,679600.8,1119.760306344548
2024,"VIC","26-39",226307,1434223.2,1577.9064234911275
2024,"VIC","40-64",350286,2053555,1705.7541677724728
2024,"VIC","65+",105907,1029046,1029.1765382694261
2010,"NSW","All ages",390746,4791490,815.499980173182
2011,"NSW","All ages",389649,4893688,796.22771210588
2012,"NSW","All ages",432586,4984973,867.7800260904121
2013,"NSW","All ages",426904,5060762,843.5567608198132
2014,"NSW","All ages",468465,5142396,910.9858517313719
2015,"NSW","All ages",486571,5245755,927.5518967241131
2016,"NSW","All ages",494676,5337947,926.7158328848151
2017,"NSW","All ages",731953,5439711,1345.5733218180158
2018,"NSW","All ages",681389,5529185,1232.3497947708388
2019,"NSW","All ages",658793,5606175,1175.120291464323
2020,"NSW","All ages",915316,5648327,1620.5081610891152
2021,"NSW","All ages",1452620,5775889,2514.9721540701353
2022,"NSW","All ages",1217596,5960216,2042.8722717431715
2023,"NSW","0-16",127,80091.5,15.856863712129252
2023,"NSW","17-25",43780,779153.7,561.8917037806533
2023,"NSW","26-39",60280,1522379.8,395.95901101683035
2023,"NSW","40-64",59426,2419128.5,245.65044808491982
2023,"NSW","65+",12036,1239604.5,97.09548489054372
2024,"NSW","0-16",164,83423.5,19.65872925494615
2024,"NSW","17-25",48125,804213.5,598.4107454052935
2024,"NSW","26-39",62707,1549921,404.5819109490097
2024,"NSW","40-64",62799,2450279,256.2932629304663
2024,"NSW","65+",13071,1278389,102.24587351737225
